gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
within_flight,historical,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,False,False,False,,,1.0,0,0,0,0.0
within_flight,historical,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,True,True,False,38.422598,8.422598,1.0,1,1,1,1.0
within_flight,historical,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,False,False,False,,,1.0,0,0,0,0.0
within_flight,historical,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,False,False,False,,,1.0,0,0,0,0.0
within_flight,historical,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
within_flight,historical,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
within_flight,historical,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,False,False,False,,,7.0,0,0,0,0.0
within_flight,historical,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,False,False,False,,,2.0,0,0,0,0.0
within_flight,historical,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,True,True,False,32.018301,2.018301000000001,2.0,0,1,1,0.5
within_flight,historical,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,True,True,False,32.024175,2.0241749999999996,2.0,0,1,1,0.5
within_flight,historical,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,False,False,False,,,,0,0,0,0.0
within_flight,historical,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,False,False,False,,,,0,0,0,0.0
within_flight,historical,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,False,False,False,,,,0,0,0,0.0
within_flight,historical,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,False,False,False,,,,0,0,0,0.0
within_flight,historical,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,False,False,False,,,,0,0,0,0.0
within_flight,historical,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,True,True,False,139.220496,109.220496,,0,0,0,0.0
